id;nom;insee;adresse;url;type_usagers;gratuit;nb_places;nb_pr;nb_pmr;nb_voitures_electriques;nb_velo;nb_2r_el;nb_autopartage;nb_2_rm;nb_covoit;hauteur_max;num_siret;Xlong;Ylat;tarif_pmr;tarif_1h;tarif_2h;tarif_3h;tarif_4h;tarif_24h;abo_resident;abo_non_resident;type_ouvrage;info
75107-P-042;BAC MONTALEMBERT;75107;39 rue du Bac. 75007. Paris;https://www.saemes.fr/fr/parking/parking-bac-montalembert;tous;0;425;0;8;191;79;0;0;57;0;190;3,17033E+13;2.32699912;48.8566579;;5;10;15;20;45;209;398;ouvrage;
75112-P-129;BERCY SEINE ;75112;180 quai de Bercy. 75012. Paris;https://www.saemes.fr/fr/parking/parking-bercy-seine;tous;0;310;70;13;0;10;0;0;7;0;190;3,17033E+13;2.382319;48.833875;;4.50;9;13.50;18;40.50;129;185;ouvrage;
75117-P-011;CARNOT;75117;14 ter avenue Carnot. 75017. Paris;https://www.saemes.fr/fr/parking/parking-carnot;tous;0;399;0;6;0;0;0;0;1;0;190;3,17033E+13;2.29327722;48.8759745;;4.80;9.60;14.40;19.20;43.20;212;265;ouvrage;
75118-P-105;CARPEAUX;75118;5 ter rue Carpeaux. 75018. Paris;https://www.saemes.fr/fr/parking/parking-carpeaux;abonnés;0;102;0;0;0;0;0;0;5;0;190;3,17033E+13;2.330233;48.890469;;;;;;;145;200;ouvrage;
75107-P-075;CHAMPAGNY;75117;Face au 13 rue Casimir Perrier. 75007 Paris;https://www.saemes.fr/fr/parking/parking-champagny;abonnés;0;112;0;0;0;0;0;0;0;0;190;3,17033E+13;2.31849;48.85788;;;;;;;;;ouvrage;
75113-P-120;CHARLETY COUBERTIN;75113;29 avenue Pierre de Coubertin. 75013. Paris;https://www.saemes.fr/fr/parking/parking-charlety-coubertin;tous;0;445;70;9;3;22;0;0;16;0;185;3,17033E+13;2.344178;48.817356;;4.20;8.40;12.60;16.80;37.80;93;133;ouvrage;
78400-P-001;CHATOU GARE;78400;Place Maurice Berteaux. 78400 Chatou;https://www.saemes.fr/fr/parking/parking-de-la-gare-de-chatou;tous;0;405;0;7;2;105;0;0;15;0;190;3,17033E+13;2.15486;48.88595;;2.15;4.5;6.40;8.30;17.30;48;72;ouvrage;
75116-P-122;DELESSERT;75116;13 rue Beethoven. 75016 Paris;https://www.saemes.fr/fr/parking/parking-delessert;abonnés;0;254;0;0;0;0;0;0;0;0;195;3,17033E+13;2.286969;48.858752;;;;;;;;;ouvrage;
75114-P-111;DIDOT;75114;2 ter rue Didot. 75014. Paris;https://www.saemes.fr/fr/parking/parking-didot;abonnés;0;287;0;0;0;0;0;2;30;0;190;3,17033E+13;2.321583;48.833912;;;;;;;;147;ouvrage;
75116-P-003;EMILE AUGIER;75116;face au 50 boulevard Emile Augier. 75016 Paris;https://www.saemes.fr/fr/parking/parking-emile-augier;abonnés;0;70;0;0;0;0;0;0;0;0;0;3,17033E+13;2.2726;48.86269;;;;;;;;;enclos_en_surface;
75116-P-004;FLANDRIN;75116;face au 2 boulevard Flandrin. 75016 Paris;https://www.saemes.fr/fr/parking/parking-flandrin;abonnés;0;228;0;0;2;0;0;0;5;0;0;3,17033E+13;2.27219;48.86438;;;;;;;;176;enclos_en_surface;
75112-P-005;GARE BERCY SEINE;75112;210 quai de Bercy. 75012 Paris;https://www.saemes.fr/fr/parking/parking-gare-bercy-seine;tous;0;81;0;0;0;0;0;0;7;0;400;3,17033E+13;2.3801;48.83578;;;;;;;;;ouvrage;
78800-P-006;GARE DE HOUILLES;78800;10 Place André Malraux;https://www.saemes.fr/fr/parking/parking-de-la-gare-de-houilles;tous;0;400;0;0;0;0;0;0;0;0;190;3,17033E+13;2.18689;48.91918;;0.70;1.30;1.70;2.10;6.40;;52;ouvrage;
75105-P-070;GAY LUSSAC;75105;45 ter rue Gay Lussac. 75005. Paris;https://www.saemes.fr/fr/parking/parking-gay-lussac;abonnés;0;105;0;0;0;0;0;0;6;0;195;3,17033E+13;2.343078;48.84216;;;;;;;;;ouvrage;
75115-P-118;GENERAL BEURET;75115;31 rue du General Beuret. 75015. Paris;https://www.saemes.fr/fr/parking/parking-general-beuret;abonnés;0;170;0;0;0;0;0;0;7;0;185;3,17033E+13;2.30212;48.83999;;;;;;;;;ouvrage;
