id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm
236;Parc Multimodal de Dourdan-Longvilliers;A10 Sortie 10 Dourdan;LONGVILLIERS;78349;Parking relais;25/02/2025;true;512377060;1.987041;48.566568;255;4;;24-juil;COFIROUTE;true;Services (dépose-minute, places deux-roues, places PMR, abris, bornes véhicules électriques, paniers Fermiers, bibliothèque solidaire, casiers consignes, espace coworking, distributeur de boissons), Intermodalité (arrêt « Le Plessis Mornay » réseaux IDFM)
237-a;Parking de covoiturage d'Ablis;A11 Sortie 1 Ablis;ABLIS;78003;Aire de covoiturage;25/02/2025;true;512377060;1.831500;48.529367;76;3;;24-juil;COFIROUTE;true;Services (dépose-minute, places deux-roues, places PMR, abris)
1;Parking de covoiturage d'Agen;A62 Sortie 7 Agen;LE PASSAGE;47201;Aire de covoiturage;25/02/2025;true;512377060;0.605866;44.166845;131;4;;24-juil;ASF;true;Services (dépose-minute, places deux-roues, places PMR, abris, station vélo), Intermodalité (arrêt « Aire de covoiturage » réseaux Tempo, Flixbus et Blablabus)
238;Parking de covoiturage d'Allainville;A10 Sortie 11 Allainville;ALLAINVILLE;78009;Aire de covoiturage;25/02/2025;true;512377060;1.906626;48.456664;75;2;;24-juil;COFIROUTE;true;Services (dépose-minute, places deux-roues, places PMR, abris)
248-a;Parking de covoiturage d'Ancenis Sud;A11 Sortie 20 Ancenis Sud;ANCENIS;44003;Aire de covoiturage;25/02/2025;true;512377060;-1.191337;47.399801;65;5;;24-juil;COFIROUTE;true;Services (dépose-minute, places deux-roues, places PMR, abris, bornes véhicules électriques)
249;Parking de covoiturage d'Angers Ouest;A11 Sortie 17 Angers Ouest;BEAUCOUZE;49020;Aire de covoiturage;25/02/2025;true;512377060;-0.623694;47.494472;49;2;;24-juil;COFIROUTE;true;Services (dépose-minute, places deux-roues, places PMR, abris, bornes véhicules électriques)
318;Parking de covoiturage d'Ittenheim;A355 Sortie 2 Ittenheim;Ittenheim;67226;Aire de covoiturage;25/02/2025;true;512377060;7.620106;48.601750;100;2;;24-juil;ARCOS;true;Services (dépose-minute, places deux-roues, places PMR, abris,  bornes véhicules électriques), Intermodalité (arrêt «Ittenheim Parc Multimodal » réseaux CTBR)
239;Parking de covoiturage d'Orléans-Saran;A10 Sortie 14 Orléans Nord;SARAN;45302;Aire de covoiturage;25/02/2025;true;512377060;1.859125;47.948682;70;;;24-juil;COFIROUTE;true;Services (dépose-minute, places deux-roues, places PMR, abris, bornes véhicules électriques)
138;Parking de covoiturage d’Orange Centre;A7 Sortie 21 Orange Centre;Orange;84087;Aire de covoiturage;25/02/2025;true;512377060;4.795676;44.134309;84;2;;24-juil;ASF;true;Services (dépose-minute, places deux-roues, places PMR, abris), Intermodalité (arrêt « Piscine » réseau TCVO)
83;Parking de covoiturage de Ambarès;A10 Sortie 42 Ambarès-St-Loubes;Ambarès-et-Lagrave;33003;Aire de covoiturage;25/02/2025;true;512377060;-0.468070572554808;44.9273030665058;70;2;;24-juil;ASF;true;Services (dépose-minute, places deux-roues, places PMR, abris, station vélo), Intermodalité (arrêt « Hourcade » réseau Bordeaux Métropole)
151;Parking de covoiturage de Balbigny;A89 Sortie 33 Balbigny;BALBIGNY;42011;Aire de covoiturage;25/02/2025;true;512377060;4.164979;45.842679;100;2;;24-juil;ASF;true;Services (dépose-minute, places deux-roues, places PMR, abris)
